year,movie_count,avg_movie_duration,avg_rating,year_rating
1906,1,70.0,6.1,good movie year
1911,4,75.25,6.3,good movie year
1912,5,76.0,6.02,good movie year
1913,13,84.38,6.58,good movie year
1914,21,75.95,6.23,good movie year
1915,21,86.76,6.42,good movie year
1916,33,75.33,6.39,good movie year
1917,23,68.22,6.32,good movie year
1918,23,92.74,6.22,good movie year
1919,47,83.91,6.43,good movie year
1920,46,80.22,6.38,good movie year
1921,45,88.2,6.75,good movie year
1922,41,92.54,6.53,good movie year
1923,35,102.37,6.8,good movie year
1924,48,98.06,6.87,good movie year
1925,68,86.78,6.65,good movie year
1926,72,90.49,6.76,good movie year
1927,75,89.93,6.65,good movie year
1928,84,89.21,6.83,good movie year
1929,138,89.74,6.37,good movie year
1930,168,81.21,6.14,good movie year
1931,216,81.11,6.35,good movie year
1932,239,79.04,6.44,good movie year
1933,251,79.81,6.47,good movie year
1934,272,79.97,6.34,good movie year
1935,276,83.22,6.43,good movie year
1936,280,84.56,6.38,good movie year
1937,295,86.81,6.47,good movie year
1938,268,85.98,6.46,good movie year
1939,292,86.88,6.55,good movie year
1940,294,89.82,6.5,good movie year
1941,297,89.36,6.51,good movie year
1942,291,85.86,6.42,good movie year
1943,267,89.93,6.47,good movie year
1944,259,89.61,6.39,good movie year
1945,242,88.67,6.5,good movie year
1946,268,89.93,6.54,good movie year
1947,289,92.97,6.65,good movie year
1948,324,92.97,6.63,good movie year
1949,326,92.44,6.63,good movie year
1950,332,91.35,6.59,good movie year
1951,356,91.73,6.52,good movie year
1952,371,92.62,6.47,good movie year
1953,396,89.4,6.39,good movie year
1954,355,94.06,6.4,good movie year
1955,388,95.51,6.47,good movie year
1956,383,94.42,6.42,good movie year
1957,425,93.84,6.38,good movie year
1958,444,94.55,6.37,good movie year
1959,400,96.59,6.37,good movie year
1960,404,100.7,6.49,good movie year
1961,418,99.0,6.34,good movie year
1962,431,101.51,6.48,good movie year
1963,421,99.89,6.51,good movie year
1964,465,99.36,6.38,good movie year
1965,469,101.9,6.38,good movie year
1966,483,99.71,6.33,good movie year
1967,529,99.52,6.26,good movie year
1968,569,99.72,6.25,good movie year
1969,557,99.61,6.2,good movie year
1970,597,99.5,6.15,good movie year
1971,653,99.75,6.12,good movie year
1972,633,98.47,6.11,good movie year
1973,650,98.66,6.12,good movie year
1974,605,99.63,6.13,good movie year
1975,553,102.92,6.17,good movie year
1976,610,100.03,6.11,good movie year
1977,597,102.59,6.16,good movie year
1978,542,102.2,6.13,good movie year
1979,579,101.8,6.12,good movie year
1980,580,104.37,6.12,good movie year
1981,600,103.99,6.21,good movie year
1982,628,102.21,6.1,good movie year
1983,621,101.37,6.08,good movie year
1984,634,101.53,6.06,good movie year
1985,689,101.99,6.03,good movie year
1986,761,99.34,5.98,good movie year
1987,822,99.2,5.87,okay movie year
1988,852,101.65,5.85,okay movie year
1989,846,101.87,5.88,okay movie year
1990,762,103.45,5.94,good movie year
1991,775,103.68,6.01,good movie year
1992,772,104.67,6.0,good movie year
1993,818,105.22,5.96,good movie year
1994,858,104.12,5.87,okay movie year
1995,937,102.51,5.87,okay movie year
1996,969,102.37,5.84,okay movie year
1997,1089,102.7,5.86,okay movie year
1998,1153,102.57,5.86,okay movie year
1999,1354,102.9,5.83,okay movie year
2000,1317,102.98,5.8,okay movie year
2001,1429,102.62,5.84,okay movie year
2002,1404,102.89,5.88,okay movie year
2003,1478,104.28,5.78,okay movie year
2004,1662,103.58,5.83,okay movie year
2005,1806,102.66,5.77,okay movie year
2006,2045,102.32,5.7,okay movie year
2007,2075,101.65,5.73,okay movie year
2008,2140,101.83,5.68,okay movie year
2009,2277,100.95,5.65,bad movie year
2010,2253,102.91,5.65,bad movie year
2011,2389,100.91,5.64,bad movie year
2012,2517,100.25,5.64,bad movie year
2013,2749,101.42,5.64,bad movie year
2014,2851,101.69,5.69,okay movie year
2015,2903,101.79,5.64,bad movie year
2016,3033,102.13,5.7,okay movie year
2017,3106,102.77,5.76,okay movie year
2018,2880,104.6,5.77,okay movie year
2019,1567,107.53,6.0,good movie year
